timestamp,queries_per_second
2024-10-28T09:53:05,97
2024-10-28T09:53:28,106.4
2024-10-28T09:53:51,110.4
2024-10-28T09:54:13,111.6
2024-10-28T09:54:37,97.4
2024-10-28T09:54:59,110.8
2024-10-28T09:55:22,107.8
2024-10-28T09:55:45,101.2
2024-10-28T09:56:08,103.4
2024-10-28T09:56:30,108
2024-10-28T09:56:53,96
2024-10-28T09:57:15,115.2
2024-10-28T09:57:38,96.4
2024-10-28T09:58:01,112.4
2024-10-28T09:58:24,82.4
2024-10-28T09:58:47,105
2024-10-28T09:59:09,86.6
2024-10-28T09:59:31,85.6
2024-10-28T09:59:54,0
2024-10-28T10:00:17,0
2024-10-28T10:00:40,111.6
2024-10-28T10:01:03,140
2024-10-28T10:01:28,103.2
2024-10-28T10:01:51,97.4
2024-10-28T10:02:14,126.8
2024-10-28T10:02:37,109.4
2024-10-28T10:03:00,106
2024-10-28T10:03:23,107.2
2024-10-28T10:03:45,110
2024-10-28T10:04:08,106.6
2024-10-28T10:04:31,107.8
2024-10-28T10:04:53,121.2
2024-10-28T10:05:17,89.8
2024-10-28T10:05:40,106.4
2024-10-28T10:06:02,124.4
2024-10-28T10:06:25,107.4
2024-10-28T10:06:48,106.8
2024-10-28T10:07:11,107.4
2024-10-28T10:07:34,102.2
2024-10-28T10:07:57,112.2
2024-10-28T10:08:20,107.6
2024-10-28T10:08:43,105.4
2024-10-28T10:09:05,106
2024-10-28T10:09:28,112
2024-10-28T10:09:50,107
2024-10-28T10:10:13,100.6
2024-10-28T10:10:37,97.8
2024-10-28T10:10:59,92.6
2024-10-28T10:11:22,103.2
2024-10-28T10:11:44,0
2024-10-28T10:12:08,0
2024-10-28T10:12:31,0
2024-10-28T10:12:54,0
2024-10-28T10:13:18,0
2024-10-28T10:13:41,82
2024-10-28T10:14:04,106.8
2024-10-28T10:14:27,103
2024-10-28T10:14:50,97.8
2024-10-28T10:15:13,116.2
2024-10-28T10:15:37,79.4
2024-10-28T10:15:59,120
2024-10-28T10:16:23,107
2024-10-28T10:16:45,103
2024-10-28T10:28:33,137.6
2024-10-28T10:28:56,114.8
2024-10-28T10:29:18,114.4
2024-10-28T10:29:41,108.6
